"segment","exchange","shortCode","symbol","token","scripId","strikePrice","expiry","lotSize","tickSize","instrumentType","optionType","isTBApproved","marginPercentage","volumeFreezeQty","quantityMultiplier","numerator","denominator","isMTFApproved","mtfMargin","nseAsmgsm","bseAsmgsm","nseSurvIndCode","isBKTAllowed","scripName"
"EQ","NSE","NCM","BASF",368,41597,"","","","5.00000","0","",true,"27.62","","","","",false,"100.00","0","100","",false,"BASF INDIA LTD"
"EQ","NSE","NCM","BASML",12034,41607,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","100","",false,"BANNARI AM SPIN MILL LTD."
"EQ","NSE","NCM","BATAINDIA",371,41615,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BATA INDIA LTD"
"EQ","NSE","NCM","BAYERCROP",17927,41626,"","","","5.00000","0","",true,"26.81","","","","",false,"100.00","0","100","",false,"BAYER CROPSCIENCE LTD"
"EQ","NSE","NCM","BBL",13761,41632,"","","","5.00000","0","",true,"34.22","","","","",false,"100.00","0","100","",false,"BHARAT BIJLEE LTD"
"EQ","NSE","NCM","BBTC",380,41639,"","","","5.00000","0","",true,"35.25","","","","",false,"100.00","0","100","",false,"BOMBAY BURMAH TRADING COR"
"EQ","NSE","NCM","BCONCEPTS",7780,41658,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","0","Long Term ASM - 4",false,"BRAND CONCEPTS LIMITED"
"EQ","NSE","NCM","BCP",11662,41663,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","",false,"B.C. POWER CONTROLS LTD"
"EQ","NSE","NCM","BDL",2144,41671,"","","","5.00000","0","",true,"35.23","","","","",false,"100.00","0","100","",false,"BHARAT DYNAMICS LIMITED"
"EQ","NSE","NCM","BEARDSELL",17933,41676,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","ESM - II (35)",false,"BEARDSELL LIMITED"
"EQ","NSE","NCM","BEDMUTHA",20196,41688,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","The Overall encumbered share in the scrip is more than 50 Percent",false,"BEDMUTHA INDUST LTD"
"EQ","NSE","NCM","BEL",383,41700,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BHARAT ELECTRONICS LTD"
"EQ","NSE","NCM","BEML",395,41716,"","","","5.00000","0","",true,"38.10","","","","",false,"100.00","0","100","",false,"BEML LIMITED"
"EQ","NSE","NCM","BEPL",419,41723,"","","","1.00000","0","",true,"33.53","","","","",false,"100.00","0","100","",false,"BHANSALI ENG. POLYMERS LT"
"EQ","NSE","NCM","BERGEPAINT",404,41731,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BERGER PAINTS (I) LTD"
"EQ","NSE","NCM","BETA",81,41743,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","0","",false,"BETA DRUGS LIMITED"
"EQ","NSE","NCM","BFINVEST",21113,41753,"","","","5.00000","0","",true,"38.85","","","","",false,"100.00","0","100","",false,"BF INVESTMENT LIMITED"
"EQ","NSE","NCM","BFUTILITIE",25879,41760,"","","","5.00000","0","",true,"50.00","","","","",false,"100.00","0","100","Short Term ASM - 1",false,"BF UTILITIES LIMITED"
"EQ","NSE","NCM","BGRENERGY",15189,41774,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","Loss making",false,"BGR ENERGY SYSTEMS LTD"
"EQ","NSE","NCM","BHAGERIA",13427,41781,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","34","100","",false,"BHAGERIA INDUSTRIES LTD"
"EQ","NSE","NCM","BHAGYANGR",20776,41788,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","ESM - I (34)",false,"BHAGYANAGAR INDIA LIMITED"
"EQ","NSE","NCM","BHANDARI",19556,41803,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","11","100","ESM - I (34)",false,"BHANDARI HOSIERY EXP LTD"
"EQ","NSE","NCM","BHARATFORG",422,41819,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BHARAT FORGE LTD"
"EQ","NSE","NCM","BHARATGEAR",426,41823,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","",false,"BHARAT GEARS LTD"
"EQ","NSE","NCM","BHARATRAS",3834,41845,"","","","5.00000","0","",true,"27.77","","","","",false,"100.00","0","100","",false,"BHARAT RASAYAN LTD"
"EQ","NSE","NCM","BHARATWIRE",16123,41852,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","Long Term ASM - 4",false,"BHARAT WIRE ROPES LTD."
"EQ","NSE","NCM","BHARTIARTL",10604,41860,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BHARTI AIRTEL LIMITED"
"EQ","NSE","NCM","BHEL",438,41868,"","","","5.00000","0","",true,"28.09","","","","",false,"100.00","0","100","",true,"BHEL"
"EQ","NSE","NCM","BIGBLOC",18431,41873,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","100","",false,"BIGBLOC CONSTRUCTION LTD"
"EQ","NSE","NCM","BIL",7853,41891,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","35","100","ESM - 2",false,"BHARTIYA INTERNATIONAL"
"EQ","NSE","NCM","BINDALAGRO",471,41925,"","","","5.00000","0","",true,"39.29","","","","",false,"100.00","0","100","",false,"OSWAL CHEM. & FERT. LTD."
"EQ","NSE","NCM","BIOCON",11373,41933,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BIOCON LIMITED."
"EQ","NSE","NCM","BIOFILCHEM",4136,41937,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","13","100","Long Term ASM - 1",false,"BIOFIL CHEM & PHARMA LTD."
"EQ","NSE","NCM","BIRLACABLE",477,41945,"","","","1.00000","0","",true,"40.96","","","","",false,"100.00","0","100","LTASM - I (13)",false,"BIRLA CABLE LIMITED"
"EQ","NSE","NCM","BIRLACORPN",480,41952,"","","","5.00000","0","",true,"31.63","","","","",false,"100.00","0","100","",false,"BIRLA CORPORATION LTD"
"EQ","NSE","NCM","BIRLAMONEY",15243,41962,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","34","100","Long Term ASM - 1",false,"ADITYA BIRLA MONEY LTD"
"EQ","NSE","NCM","BLBLIMITED",8132,41992,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","ESM - 1",false,"BLB LIMITED"
"EQ","NSE","NCM","BLISSGVS",19265,41999,"","","","1.00000","0","",true,"36.77","","","","",false,"100.00","11","100","",false,"BLISS GVS PHARMA LTD"
"EQ","NSE","NCM","BLKASHYAP",13290,42006,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","26","100","Long Term ASM - 1,The Overall encumbered share in the scrip is more than 50 Percent",false,"B.L.KASHYAP & SON LTD"
"EQ","NSE","NCM","BLS",17279,42013,"","","","5.00000","0","",true,"35.84","","","","",false,"100.00","0","100","",false,"BLS INTL SERVS LTD"
"EQ","NSE","NCM","BLUEDART",495,42047,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","100","",false,"BLUE DART EXPRESS LTD"
"EQ","NSE","NCM","BLUESTARCO",8311,42060,"","","","5.00000","0","",true,"28.58","","","","",false,"100.00","0","100","",false,"BLUE STAR LIMITED"
"EQ","NSE","NCM","BODALCHEM",25017,42067,"","","","1.00000","0","",true,"33.12","","","","",false,"100.00","0","100","",false,"BODAL CHEMICALS LTD"
"EQ","NSE","NCM","BOMDYEING",513,42081,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","Long Term ASM - 1,Loss making",false,"BOMBAY DYEING & MFG. CO L"
"EQ","NSE","NCM","BORORENEW",3149,42090,"","","","5.00000","0","",true,"36.05","","","","",false,"100.00","0","100","",false,"BOROSIL GLASS WORKS LTD"
"EQ","NSE","NCM","BOSCHLTD",2181,42098,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BOSCH LIMITED"
